Numero,Estado,Tiempo de Ejecución (ns)
4022595523,OK,1188215
2628899083,OK,534576
4252564543,OK,912251
2505382163,OK,655364
3406587931,OK,743519
4236524059,OK,901712
3774472441,OK,704868
3746363921,OK,854703
3772171471,OK,738195
3650571283,OK,736017
2897782373,OK,680888
4037879077,OK,1843662
2260270487,OK,761434
3259348321,OK,702691
1833219961,OK,469599
3063199861,OK,654138
2131733719,OK,390959
3284648903,OK,638324
3961252891,OK,780422
3280159313,OK,707953
3905116981,OK,778911
4206637271,OK,870196
2935698929,OK,641493
3346735897,OK,737269
4030101223,OK,761180
1992403339,OK,377138
3525668903,OK,817678
3095651473,OK,690833
3725010881,OK,841781
2633223469,OK,578136
3359623231,OK,731821
3195637559,OK,979787
4043829511,OK,989257
4164198953,OK,1029585
3860051051,OK,873595
3748998653,OK,867200
4050162481,OK,846400
3237327089,OK,659591
4077062279,OK,832445
3025330337,OK,618278
3776463109,OK,780412
3293075707,OK,610652
4283039561,OK,818458
4226865887,OK,782626
2128491377,OK,400345
4272057617,OK,829838
2443741759,OK,437057
3269458151,OK,700294
4038853223,OK,883762
2866885397,OK,713543
4277932067,OK,899075
2794852909,OK,621769
4219988869,OK,1226066
3818906527,OK,930597
2668481527,OK,684700
1158620609,OK,436356
3461290939,OK,690380
3140386631,OK,623896
3981177169,OK,798769
3596557429,OK,749044
3252785633,OK,726088
3611775469,OK,728617
2216210539,OK,402015
3992948681,OK,873636
3451024001,OK,1102101
3502323161,OK,1008766
4224861677,OK,878580
2863575389,OK,674359
2118802523,OK,419325
3330482929,OK,653104
3885098897,OK,896904
2233224437,OK,581113
3199695713,OK,851003
1670241799,OK,512351
3430084663,OK,845941
3173231821,OK,797933
3490959379,OK,760670
3824935931,OK,746881
3191285723,OK,714715
2896893257,OK,622397
2926729361,OK,601063
3694377433,OK,764885
3764191273,OK,722367
3883270957,OK,775637
2243668621,OK,375168
2726624899,OK,584100
1983067439,OK,400461
4214471711,OK,812980
4035965071,OK,899782
2175252979,OK,412661
4017771253,OK,797447
4017097813,OK,761852
3261850003,OK,637858
2560455973,OK,555064
2650043293,OK,648018
2274020191,OK,521328
3315095461,OK,915214
4035551587,OK,899935
3041947541,OK,678393
3284008837,OK,636831
2287044689,OK,418932
2043286711,OK,472791
4083081649,OK,799882
2821721543,OK,638655
2208405389,OK,450704
3774698737,OK,826333
3466224721,OK,724379
4162975777,OK,788838
3181100443,OK,563054
3757381457,OK,738737
4162975777,OK,896742
4160232379,OK,822380
3919492853,OK,790975
4046375699,OK,839904
1922509663,OK,442141
3109066139,OK,628701
3789013909,OK,1097654
2406706691,OK,565896
4000396013,OK,1081176
2208117187,OK,587791
4285925173,OK,946436
3145210403,OK,697969
3807359789,OK,736757
3473072539,OK,690547
1802636347,OK,454413
3760446383,OK,744941
3703305071,OK,735010
3596626367,OK,727383
3144338663,OK,619087
4229357147,OK,828336
3224547463,OK,723787
3527512133,OK,855116
4260504013,OK,855762
3805967923,OK,734679
2251328227,OK,421540
3220815797,OK,599845
3761946569,OK,835322
2595865417,OK,683404
3475586393,OK,1048332
2743566031,OK,742838
3825086743,OK,1005379
3238117633,OK,678784
2948179747,OK,627617
3045816877,OK,613067
3892040863,OK,801982
2786572583,OK,680537
4188273059,OK,850098
3941743081,OK,757122
4041526133,OK,840482
3913518041,OK,803560
3170090227,OK,608027
2548687871,OK,469999
1934568541,OK,414647
4019449747,OK,817536
2090605021,OK,409764
4280155933,OK,828484
4021875061,OK,818802
3753684367,OK,789605
1969749451,OK,739867
3594168629,OK,967036
3990310169,OK,1337848
4275320347,OK,927921
2341947599,OK,482902
2162180833,OK,464196
2941570301,OK,654164
4043419771,OK,788831
3275360329,OK,705211
3744825023,OK,750610
2588420033,OK,559199
4114801879,OK,820646
2082154859,OK,370785
3774131279,OK,863604
3379173367,OK,866386
3105208597,OK,697906
1111962017,OK,500234
3991763861,OK,901987
3195387509,OK,689453
4237614509,OK,941154
4233937619,OK,943680
3143614037,OK,1110863
3722150569,OK,1003008
3540990419,OK,813473
4014087067,OK,916713
3524718661,OK,804409
4247115211,OK,881137
3789013909,OK,767159
4066458457,OK,792054
4161140741,OK,847277
4286318299,OK,844827
4278714119,OK,894354
4049337233,OK,860823
3969034613,OK,871598
2796704231,OK,733687
3773959919,OK,875864
4136991751,OK,953042
4278714119,OK,919935
3960558031,OK,1174217
2198032987,OK,491966
2457842791,OK,547307
2121613519,OK,513637
3388330013,OK,762306
4212128527,OK,864738
3681415267,OK,726119
3999024611,OK,770441
3564406073,OK,739657
4146984749,OK,822326
3151738517,OK,639287
3262825231,OK,636638
4020871697,OK,750930
4114801879,OK,859828
3935357513,OK,810615
3551933089,OK,721238
4075018679,OK,851656
3752146681,OK,788899
3887802157,OK,790444
2085639433,OK,374399
3841574179,OK,827972
4012734881,OK,1040978
3826823831,OK,959746
4030821761,OK,1281479
3586116503,OK,828321
4001492609,OK,811881
3643763117,OK,731763
4236313969,OK,898072
2949560683,OK,638478
4281073451,OK,892672
1749649849,OK,389871
3007614859,OK,664613
3820990403,OK,799666
1272423253,OK,385550
1940593309,OK,379798
3442417123,OK,731943
2646273569,OK,485135
4028100631,OK,764235
3507983513,OK,816441
3936301409,OK,877891
4012360981,OK,789228
3225927751,OK,1074450
1881694967,OK,471702
3756875803,OK,1129424
4114414561,OK,1000403
1755790823,OK,442794
2155199443,OK,399609
3140768149,OK,620220
3745965833,OK,710919
3608587429,OK,733770
3922699537,OK,781219
4088394671,OK,822852
2372146313,OK,521190
3872493539,OK,813940
3625894751,OK,711035
3616999013,OK,723281
2489459041,OK,587608
2034365513,OK,372669
2578771649,OK,457709
3612883949,OK,731153
2799663001,OK,671476
3339105437,OK,751726
3583453187,OK,843337
2394722641,OK,504807
4161832399,OK,1170591
2381790043,OK,546689
4145659213,OK,1301032
2634376447,OK,565632
3312727667,OK,660681
3963561853,OK,813259
3144254831,OK,664228
3379860139,OK,720033
2617449407,OK,596667
1731877643,OK,445687
3041915221,OK,599923
3543839323,OK,764144
3724121017,OK,739491
4031770703,OK,835417
3770209081,OK,760222
3388322417,OK,684444
4105598779,OK,847479
2219554061,OK,403952
3510751553,OK,682523
2079712853,OK,500945
4012360981,OK,948654
4026994297,OK,917390
3247948183,OK,757260
3576122549,OK,1195963
4010526929,OK,992992
4128886297,OK,836193
3373319597,OK,761426
1872793519,OK,539927
1966005269,OK,477902
4263378461,OK,974377
1924599361,OK,465075
3641307259,OK,791636
3377970097,OK,762955
2956854599,OK,700872
4290249559,OK,966078
3139017779,OK,683538
3247161739,OK,682090
3859840423,OK,831846
2384825893,OK,410042
2222351981,OK,526082
3658733363,OK,923197
1733903341,OK,569138
3336220529,OK,957423
2768457343,OK,932925
3559543787,OK,912640
1669247521,OK,427839
2536933499,OK,646303
3047928209,OK,683389
2830819961,OK,632551
2809229497,OK,653245
2099921077,OK,399953
3264144203,OK,787472
2597262683,OK,747150
2139520277,OK,423103
3156170153,OK,673227
3422025157,OK,719333
1365451069,OK,506829
2614270691,OK,517237
3051344383,OK,627872
4076257973,OK,825341
3027354931,OK,671198
1851375563,OK,429872
3084400607,OK,685675
4246848343,OK,1218585
3103667011,OK,706865
4149957787,OK,880526
4162958417,OK,1000849
4257902933,OK,973648
2986084523,OK,668845
4020569321,OK,866370
3930497387,OK,901734
3336902501,OK,741595
2367187129,OK,458412
3317476243,OK,880794
4226865887,OK,1267263
3194666243,OK,725914
1646159653,OK,508250
3136440337,OK,910297
3184284353,OK,857962
3055269403,OK,695861
4154621089,OK,884029
3599754583,OK,815828
3086838863,OK,880068
4278714119,OK,945603
4110677251,OK,899940
4096024643,OK,952123
3545852491,OK,763543
3052134257,OK,614770
4129109069,OK,808022
2113606427,OK,411344
2723281013,OK,561085
3566487917,OK,769714
2819170271,OK,684696
3501999533,OK,728881
3177492319,OK,571866
3624042869,OK,761405
3553290661,OK,729229
3915792833,OK,811554
