Numero,Estado,Tiempo de Ejecución (us)
244826907552901,OK,1794949
227846354095067,OK,1681564
231815125594889,OK,1806875
141562978634111,OK,1026378
281406156640069,OK,2060815
281193094125821,OK,2050789
186176722293871,OK,1530758
272481269009857,OK,1987357
244685452161971,OK,1795302
245958056408503,OK,1790654
276882257998391,OK,2017658
274825635876299,OK,2011425
232813709834711,OK,1811358
263820170591071,OK,1917931
281407163027929,OK,2061937
139634829816367,OK,1008132
246772056455933,OK,1806320
267967689339923,OK,1962019
276845489710931,OK,2056536
211610353231429,OK,1578973
272723296155839,OK,2003470
260797212504683,OK,1928189
262886873864591,OK,1928761
248725387153939,OK,1829996
147627133593493,OK,1130843
244436898112129,OK,1854101
210621694532017,OK,1589157
241415950187693,OK,1857042
276468711862699,OK,2190266
280277941731629,OK,2149466
163880968241083,OK,1379922
277198089012557,OK,2192821
280392745808869,OK,2191612
280381193788469,OK,2219086
272683755641317,OK,2136220
277210444047029,OK,2046577
281344751624449,OK,2062184
264148170620101,OK,1945263
281303412930509,OK,2057229
208171363000243,OK,1543465
210288113111029,OK,1529341
279345003015203,OK,2053299
274843680106663,OK,2035861
143834901338299,OK,1042512
147224457969731,OK,1077431
153834820923331,OK,1141568
280646288668961,OK,2052921
144950543214563,OK,1040362
280384626547357,OK,2068199
272208046282369,OK,2005472
245445831777689,OK,1805466
279280215260413,OK,2026710
274395382424711,OK,2018386
246904799168143,OK,1816848
206307498062411,OK,1598161
280926125457881,OK,2048918
264617496534773,OK,1957968
92930687772401,OK,1072581
211315063268693,OK,1530682
280925422779923,OK,2051807
204543313394561,OK,1536035
277557690467819,OK,2037320
144638954932123,OK,1038466
280917284964101,OK,2078004
280857004331129,OK,2049954
205477889863123,OK,1567840
139019695945891,OK,1019869
271154015317447,OK,2004423
206070290884769,OK,1542327
252943551224437,OK,1864006
228421916581427,OK,1666103
280383651276997,OK,2048784
246309219041183,OK,1799103
141012357824509,OK,1008403
273210450475969,OK,2000486
215190162919867,OK,1565068
279420260838457,OK,2194111
279823371963011,OK,2057701
241561115793461,OK,1814695
280110844637971,OK,2058541
279014301690517,OK,2042161
245474469676411,OK,1803525
216312918540217,OK,1593539
272814239622523,OK,1995713
271997766442877,OK,2024844
281063967826469,OK,2059501
200162306012969,OK,1550353
212754301354951,OK,1549124
262370143467373,OK,1943889
281458836985649,OK,2072082
210284991677731,OK,1655177
173483403195623,OK,1383521
259779732953347,OK,2044099
166230974427877,OK,1242806
246895019739763,OK,1844522
140495187595783,OK,1034942
266738557697837,OK,2071127
205521144787837,OK,1575061
206147668512659,OK,1508796
265817339777449,OK,1970686
141300272706947,OK,1018770
117555828129919,OK,1138932
202399887209437,OK,1545728
266163922612909,OK,1972282
264695388141127,OK,1939065
198373298011927,OK,1550119
174653964042379,OK,1261094
272726556656599,OK,1997607
275541687036893,OK,2036117
241399019456437,OK,1781125
279292430892457,OK,2050251
237725069049361,OK,1794000
281196848186173,OK,2057396
280926528503869,OK,2065614
196125092670307,OK,1684941
210728958388891,OK,1541328
248318121778703,OK,1822403
149520988506311,OK,1080069
246402351650933,OK,1803238
246265352245711,OK,1796819
272949488940203,OK,2011766
281475647799167,OK,2053537
255193506100573,OK,1866250
144317052127271,OK,1058651
188554591410481,OK,1407092
247580150770111,OK,1925831
191695234946219,OK,1571964
142871735132983,OK,1054939
144053817628901,OK,1068242
148240662515317,OK,1076315
269518558550387,OK,2105040
281338409820547,OK,2170722
268148381936233,OK,2001841
277179554280869,OK,2097621
273188821468657,OK,2070775
281407163272009,OK,2111754
266055040242347,OK,1976277
242562182758267,OK,1976564
277707121168913,OK,2193593
107398484618003,OK,1061263
252060722029177,OK,1950290
242616395030407,OK,1931136
107127424472231,OK,1062785
279957776953277,OK,2180252
171523894673413,OK,1592730
277632822311597,OK,2077740
281474641163627,OK,2098966
280128609643469,OK,2244912
272947717124239,OK,2189827
136374314979473,OK,1038841
266721980787739,OK,2052287
270810634199321,OK,2061022
245344752958429,OK,1854911
241516860829081,OK,1869628
281252321828239,OK,2342103
133531571744941,OK,1072119
276259810120621,OK,2482144
281148945077123,OK,2280081
272680236877453,OK,2087987
272984614497157,OK,2126853
249931501549781,OK,2052764
252932250757541,OK,1930745
200533629934147,OK,1516060
201992563193111,OK,1553319
273812534087363,OK,2045678
141150434234791,OK,1025721
177798227729401,OK,1438440
212836248120641,OK,1622488
145727045516839,OK,1087699
219557807183027,OK,1660303
261326558042393,OK,1953048
263819226870211,OK,1996535
