Numero,Estado,Tiempo de Ejecución (us)
2198032987,OK,438
2457842791,OK,490
2121613519,OK,416
3388330013,OK,695
4212128527,OK,978
3681415267,OK,1145
3999024611,OK,1149
3564406073,OK,1061
4146984749,OK,992
3151738517,OK,783
3262825231,OK,973
4020871697,OK,988
4114801879,OK,1043
3935357513,OK,1027
3551933089,OK,957
4075018679,OK,1048
3752146681,OK,1013
3887802157,OK,880
2085639433,OK,418
3841574179,OK,839
4012734881,OK,954
3826823831,OK,1100
4030821761,OK,1254
3586116503,OK,998
4001492609,OK,971
3643763117,OK,889
4236313969,OK,1063
2949560683,OK,787
4281073451,OK,1058
1749649849,OK,474
3007614859,OK,849
3820990403,OK,956
1272423253,OK,474
1940593309,OK,467
3442417123,OK,900
2646273569,OK,538
4028100631,OK,758
3507983513,OK,768
3936301409,OK,895
4012360981,OK,846
3225927751,OK,600
1881694967,OK,361
3756875803,OK,748
4114414561,OK,827
1755790823,OK,432
2155199443,OK,394
3140768149,OK,595
3745965833,OK,714
3608587429,OK,653
3922699537,OK,792
4088394671,OK,772
2372146313,OK,635
3872493539,OK,923
3625894751,OK,882
3616999013,OK,921
2489459041,OK,741
2034365513,OK,462
2578771649,OK,582
3612883949,OK,929
2799663001,OK,794
3339105437,OK,942
3583453187,OK,1106
2394722641,OK,624
4161832399,OK,1179
2381790043,OK,562
4145659213,OK,1080
2634376447,OK,532
3312727667,OK,640
3963561853,OK,804
3144254831,OK,673
3379860139,OK,746
2617449407,OK,645
1731877643,OK,441
3041915221,OK,577
3543839323,OK,722
3724121017,OK,685
4031770703,OK,729
3770209081,OK,755
3388322417,OK,616
4105598779,OK,803
2219554061,OK,419
3510751553,OK,805
2079712853,OK,577
4012360981,OK,896
4026994297,OK,1073
3247948183,OK,713
3576122549,OK,848
4010526929,OK,835
4128886297,OK,797
3373319597,OK,664
1872793519,OK,422
1966005269,OK,386
4263378461,OK,826
1924599361,OK,511
3641307259,OK,889
3377970097,OK,692
2956854599,OK,656
4290249559,OK,854
3139017779,OK,632
3247161739,OK,627
